relative_path,source_revision,content_sha256,classification,subsystem,source_review_status,reviewed_symbols_or_ranges,test_evidence,runtime_validation_status,issue_references,remaining_review
bagit_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,f973ef4eb725f3bcc455810077d828a224a32a0c78604ead8c7bbc1a1de4a509,first-party test,tests: bagit,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 6}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
browse.go,3ea444ae528af7343818142c867a8f955f9252aa,6919e26d8ed56e0879900474584dbcc72aabc02d95f203d431c1beaaa1658340,first-party production,browse,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
build_verify_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,d12acce608c680c61e442581b11bf4dba3facb4c2a41b1013fd38cba408bb091,first-party test,tests: build_verify,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""skip"": 4}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
build_verify_windows_containment_test.go,3ea444ae528af7343818142c867a8f955f9252aa,73b8343b61b2434789414ec6eb4de8621a18b2d8d1078b9d39e84f0ee4d63bfa,first-party test,tests: build_verify_windows_containment,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
burner.go,3ea444ae528af7343818142c867a8f955f9252aa,62e7fd9e9fecb2b34fc459caf1f5a7057865be7add85a875d370e04e912308d2,first-party production,burner,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
cardcheck.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,7fdcd6ac234c6422149ccd123fc05b9634d9065e867cd029b9e8206c0e488bfc,first-party production,cardcheck,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
cardcheck_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,c6d689dc4b1d11b57af224b69b051f42a3ccb743100b44efb009527e04d7fc5a,first-party test,tests: cardcheck,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 4, ""skip"": 1}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
catalog_open_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,13bc5e2e887313f062b5f4ca9798f113520094c5ec0dae0c5c874c813487c9a3,first-party test,tests: catalog_open,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 9}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
catalog_scale_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,c99b4b201f82ae4793c2f8f0fd444649924c1a8e54e61b3078a11a65ded74c73,first-party test,tests: catalog_scale,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""skip"": 1}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
conflicts.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,c6d353310ddd4c71b79d6821d5cbdfa9fe95d45f1987c6e71cffddbde245f007,first-party production,conflicts,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
conflicts_test.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,d116585e4dd13ca877dcc5218309946a0efcbb2a097cb8b02cab3343ed6df090,first-party test,tests: conflicts,INVENTORIED_ONLY,,"NEW_DESKTOP_BASELINE-2026-09-19.md; retained tests.stdout; top-level outcomes {""pass"": 2}; absent from selected run: ",NAMED_TEST_RESULTS_ONLY,,Substantive source review pending
copy_health_test.go,3ea444ae528af7343818142c867a8f955f9252aa,18bc11f70c6cd6cc678886c713d576985104518afa1dfd89135ff8219e6a7877,first-party test,tests: copy_health,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
datamap.go,3ea444ae528af7343818142c867a8f955f9252aa,d4c8d0d7ce26eb5885e9de65a87e09af52be6ded66a03d1d78b1043e9d8b3105,first-party production,datamap,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
datamap_test.go,3ea444ae528af7343818142c867a8f955f9252aa,299196163b678ebb55c44934f16817e5c220393a69bf515a92ccb1850dee9b81,first-party test,tests: datamap,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
deviceid.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,15ae93b4db80b592d6ff382e24baf02de2e55a690b6273a9915098a1cfe943a1,first-party production,deviceid,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
deviceid_unix.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,7bcbea76b28d89176fed89cfe9ad3ed27b261bc1e0baf85bd1eadf8f3dfb571d,first-party production,deviceid_unix,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
deviceid_windows.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,09784f2fc73bea033ebb0d8caaa3d86a124759c8f0bfd6ea5ace6cf043637216,first-party production,deviceid_windows,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
dirsync_unix.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,3479a216926bf995714f12afecd6b88f6ed6374b66c62b14a6d046dea5a78495,first-party production,dirsync_unix,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
dirsync_windows.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,5fea9c891ce63e8ad169723778c57e529ec0e9614b202d3d531ddc4c0270a4c3,first-party production,dirsync_windows,SOURCE_REVIEWED,1-9 entire Windows syncDir no-op,"PERSISTENCE_REVIEW-2026-09-19.md; precise baseline/probe symbol coverage, not full-file runtime coverage",SOURCE_ONLY_THIS_PASS,OB-002;OB-003,Source read complete for this file; platform and untested failure paths remain; not whole-product assurance
diskfree_unix.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,8b6e4f56829bbcbc7caad6a75551f31968ac9375e4b542827484e00336a9bbc4,first-party production,diskfree_unix,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
diskfree_windows.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,4ca61bf8ed12f9853ea7498957ad668784ed565aac061b858e074c128e5c3270,first-party production,diskfree_windows,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
dock.go,3ea444ae528af7343818142c867a8f955f9252aa,af84d0bea8797be35047fc1eee93b4302417c9a1505707d12f6d4ffa83b5ed52,first-party production,dock,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
dock_mounts_unix.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,b5eb84b2ea8cb47648d0d7bbf28bfd591f353911012b44dd057714ef00218b40,first-party production,dock_mounts_unix,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
dock_mounts_windows.go,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,057a0a6e915b24b27c672d590c6465d9617e5d145459d0f6ad1e53d986bf281f,first-party production,dock_mounts_windows,INVENTORIED_ONLY,,,NOT_TESTED,,Substantive source review pending
dock_test.go,3ea444ae528af7343818142c867a8f955f9252aa,579dd3dafb12b418876c7f22abf056ecc9b3e7fde1d6387aa01e3b25bfcdf0f3,first-party test,tests: dock,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. Configuration read/publication/caller propagation or explicit fixture initialization; historical coverage retained at parent,reviews/OBX-004-CONFIG-READ-SAFETY-IMPLEMENTATION-2026-09-19.md; target-ready and suite-ready; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,BOUNDED_TESTS_EXECUTED,OBX-004,Separate review of new candidate; no full-file safety conclusion. Prior residual: Substantive source review pending; job-loading and broader storage/concurrency/transaction/ACL residuals remain open
docker-compose.yml,3ea444ae528af7343818142c867a8f955f9252aa,026480e6e8e37fbae52b45f7479e6586f328451b98e6264fd083afd8aafe9a4d,reference/documentation,configuration initialization,OWNER_ACCEPTED_BOUNDED_CONFIG_SCOPE,Accepted configuration read/update/initialization/caller slice only; no whole-file certification. R1 no-replace publication and lifecycle; R2 container first-use guidance. Existing accepted read/update behavior preserved.,reviews/OBX-004-CONFIG-READ-SAFETY-REVIEW-FOLLOWUP-2026-09-19.md; target/safety/full; reviews/OBX-004-CONFIG-READ-SAFETY-FOCUSED-RECHECK-2026-09-19.md,SOURCE_AND_SYNTAX_ONLY,OBX-004 R1/P1; R2/P2,"Focused recheck; no general concurrency, job-loading, Docker runtime or repository-wide certification; job-loading and broader storage/concurrency/transaction/ACL residuals remain open"
docs/ARCHITECTURE.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,63c19810b5f03bf31c292cfdc271411a82efc65156023eeda2333c7ee8ea133e,reference/documentation,documentation,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as reference/documentation
docs/COMPARISON.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,31337747bbdfa2c6121ed481329e91cf62f795ad20e53ce58772acb76bfd2ce6,reference/documentation,documentation,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as reference/documentation
docs/CONTRIBUTING.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,9b478da3f9ced95a9f131badae2aa85e7c616ca4d44d1f4219e9c30500069fda,reference/documentation,documentation,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as reference/documentation
docs/RESTORE_RUNBOOK.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,7aea44781f700d38b249590fb793c55f35ceb9defcd5dfe23284960efac9128c,reference/documentation,documentation,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as reference/documentation
docs/development/BASELINE-2026-09-06.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,57988c0b857c69f3b166dff77a95d86b6e86b38ec2262a24e73b56737552608e,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/NEXT_ACTIONS.md,WORKTREE on 26918c5b8ed01ea301fc9a4c7658e19054a73632; R1/R2 follow-up,942c0019835143bd87b04d07343bf79ef6af42335c4a7fa15f8c028c338e5422,reference/documentation,configuration initialization,CHANGED_AWAITING_FOCUSED_RECHECK,R1 no-replace publication and lifecycle; R2 container first-use guidance. Existing accepted read/update behavior preserved.,reviews/OBX-004-CONFIG-READ-SAFETY-REVIEW-FOLLOWUP-2026-09-19.md; target/safety/full,SOURCE_AND_SYNTAX_ONLY,OBX-004 R1/P1; R2/P2,"Focused recheck; no general concurrency, job-loading, Docker runtime or repository-wide certification"
docs/development/OB_STATUS.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,4debe804b0ed2788b4a59c466536e11f643d13e3f2db419871204850cd5b7294,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/OBX-001-WINDOWS-FIXTURE-2026-09-07.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,b6281c6b4a1d2758bb99cfaf467da94f5bbd9f4f1465aaf2e9a5acf0540a3f1a,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/OBX-006-CONTAINMENT-2026-09-07.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,b27a7d3b54ab67f6472912ed295ae02129d60e942a9048dafdf7cbc1c4deb262,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/OBX-006-CONTAINMENT-REVIEW-2026-09-07.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,faa18d13253186b81af1f5a71b0b11498197c57e6e09edac1882faa8f09e63ba,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/OBX-006-WINDOWS-UNICODE-IMPLEMENTATION-2026-09-07.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,803232e8edf1eb65c35be7d2be83045c11b3aadc826f7ab0087b4656cd4485e5,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/PR01-OB-001-2026-09-06.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,78a45fc095c9dadbb19bb7764ac13f9fd86b9e2497499c124d6122c0d2a36f25,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/PR01-OB-001-FOCUSED-RECHECK-2026-09-06.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,2009e5fff98f2426c49a2a6195035622f381a549b274d6b3f641512065f2cd37,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/PR01-OB-001-INDEPENDENT-REVIEW-2026-09-06.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,1b5cc6042dce58acf015debb18f96bfaf6139d3a3c9fc1a80a2f5fe25beab33b,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/PR01-OB-001-REVIEW-FOLLOWUP-2026-09-06.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,60d93d467c90b2c6268f3b351a6f37ef7970f260e0078830c8f126e56995c670,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/PR02-OB-003-EXTERNAL-REVIEW-2026-09-07.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,83d25498c75698d03553c2c08f719a2415809b55bb89db432902d2cfa37cc0a0,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/PR02-OB-003-IMPLEMENTATION-2026-09-07.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,adcac2c082e9e2daa0f63030913d4e04a300f9c2bda03d7d267628c54107fc2f,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/PR02-OB-003-INDEPENDENT-REVIEW-2026-09-07.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,774bab36e0dc794e7662b44e8879d907b0d4c3f6acce9b67859068e4d2453bd9,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/PR02-OB-003-REVIEW-FOLLOWUP-2026-09-07.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,b4eaf0c610e51c6007d73aa50f697249eb50b8923a042417e9f65da156b631b2,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/PR03-OB-002-FOCUSED-RECHECK-2026-09-07.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,267705583889cd36343e732cf4a76cf6dc6236e106da13b0b1463c3c170decc7,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
docs/development/reviews/PR03-OB-002-FRESH-REVIEW-2026-09-07.md,0dc7d5399c6889e015aebc9ba02e694a909d6e9c,18df0387b5af04c1dc99fda5e4b55db2099e001351d1a276ff499c91e1738c77,historical reference,review history,EXCLUDED_WITH_REASON,,,NOT_TESTED,,Not application source; retained as historical reference
